Athropods,General Fish,Freshwater Fish,Marine Fish,Reptiles,Amphibians,Birds,Mammals,Pollen,Federally Listed,Invasive Species,Plants,Marine Fish 2,Marine Fish 3
invertebrate,Lepomis megalotis ,Northern brook lamprey,Anoplopoma fimbria ,turtle,,goose,sheep,,Graptemys flavimaculata ,Plasmodium relictum,Cardamine micranthera ,Saurida suspicio ,Eared BlackSmelt
insect,Lepomis macrochirus ,Ninespine stickleback,Anoplogaster cornuta ,Thamnophis sirtalis tetrataenia ,,falcon,seal,,Gopherus polyphemus ,Pinus pinaster,Canavalia napaliensis ,Scartella cristata ,Mediterranean Divinglamp
Icaricia icarioides ,Lepomis humilis ,musky,Anoplarchus purpurescens ,Thamnophis gigas ,,emu,Sciurus niger cinereus ,,Gopherus flavomarginatus ,Phytophthora cinnamomi,Canavalia molokaiensis ,Scarus coeruleus ,Cocco's Lanternfish
Hylaeus longiceps ,Lepomis gulosus ,Muskellunge,Anoplarchus insignis ,Terrapene coahuila ,,eagle,rodent,,Gopherus agassizii ,Pheidole megacephala,Campanula robinsiae ,Scarus compressus ,Atlantic Tripletail
hexapod,Lepomis gibbosus ,mud darter,Anoplagonus inermis ,Sternotherus depressus ,,duck,river otter,,Glyptemys insculpta ,Oryctolagus cuniculus,Camissonia benitensis ,Scarus ghobban ,Spottedtail Goosefish
Euphydryas editha quino ,Lepomis cyanellus ,Mottled sculpin,Anisotremus virginicus ,Sphaerodactylus micropithecus ,,dove,Reithrodontomys raviventris ,,Gila seminuda ,Oreochromis mossambicus,Calystegia stebbinsii ,Scarus iseri ,Reticulate Goosefish
Euphilotes enoptes smithi ,Lepisosteus platostomus ,mosquitofish,Anisotremus taeniatus ,softsheel turtle,,diver,rat,,Gila purpurea ,Opuntia stricta,Calyptronoma rivalis ,Scarus perrico ,Threadfin Goosefish
Euphilotes battoides allyni ,Lepisosteus osseus ,mooneye,Anisotremus surinamensis ,snapping turtle,,crane,Rangifer tarandus caribou ,,Gila nigrescens ,Ophiostoma ulmi,Calyptranthes thomasiana ,Scarus rubroviolaceus ,Goosefish
daphnia,Lepisosteus oculatus ,minnow,Anisotremus interruptus ,snake,,capecaillie,raccoon,,Gila intermedia ,Oncorhynchus mykiss,Calochortus tiburonensis ,Scarus sp. ,Blackfin Goosefish
crustaceans,Labidesthes sicculus ,Longnose sucker,Anisotremus davidsonii ,Sauromalus varius ,,Campephilus principalis ,rabbit,,Gila elegans ,nuisance,Callirhoe scabriuscula ,Sciaenops ocellatus ,Tilefish
crayfish,Ictiobus spp.,longnose gar,Anguilla anguilla ,Pseudemys alabamensis ,,bunting,Puma yagouaroundi tolteca ,,Gila ditaenia ,non-native,Callicarpa ampla ,Scomber colias ,Crestfish
crab,Ictiobus niger ,longnose dace,Ancylopsetta quadrocellata ,pond turtle,,blue jay,Puma yagouaroundi cacomitli ,,Gila cypha ,non-indigenous,Caesalpinia kavaiensis ,Scomber japonicus ,Laura's Lanternfish
clam,Ictiobus cyprinellus ,logperch,Ancylopsetta dendritica ,painted turtle,,birds,Puma concolor coryi ,,Gila boraxobius ,Mytilus galloprovincialis,Buxus vahlii ,Scomber scombrus ,Rainwater Killifish
Cicindela ohlone ,Ictiobus bubalus ,Lamprey,Anchoviella perfasciata ,northern map turtle,,bird,Peromyscus gossypinus allapaticola ,,Gila bicolor mohavensis ,Myocastor coypus,Brodiaea pallida ,Scomberesox saurus ,Y-Prickleback
Cicindela nevadica lincolniana ,Ictalurus punctatus ,Lake whitefish,Anchovia macrolepidota ,Neoseps reynoldsi ,,Agelaius xanthomus ,Perognathus longimembris pacificus ,,Gambusia nobilis ,Mustela erminea,Brodiaea filifolia ,Scomberomorus cavalla ,Snake Prickleback
bug,Ichthyomyzon unicuspis ,Lake trout,Anchovia clupeoides ,musk turtle,,,Ovis canadensis californiana ,,Gambusia heterochir ,Mus musculus,Brighamia rockii ,Scomberomorus concolor ,Highfin Blenny
Brychius hungerfordi ,Ichthyomyzon fossor ,Lake sturgeon,Anchoa walkeri ,Masticophis lateralis euryxanthus ,,,otter,,Gambusia gaigei ,Morella faya,Brighamia insignis ,Scomberomorus maculatus ,Mutton Snapper
Boloria acrocnema ,Ichthyomyzon castaneus ,Lake chub,Anchoa nasus ,Macrochelys temminckii ,,,Oryzomys palustris natator ,,Gambelia silus ,Mnemiopsis leidyi,Bonamia menziesii ,Scomberomorus regalis ,Schoolmaster
barnacles,Hypophthalmichthys nobilis  ,lake +,Anchoa mitchilli ,lizard,,,Odocoileus hemionus cerrosensis ,,federally-listed,Mimosa pigra,Bonamia grandiflora ,Scomberomorus sierra ,Mullet Snapper
Apodemia mormo langei ,Hypophthalmichthys molitrix  ,kiyi,Anchoa lyolepis ,Lepidochelys olivacea ,,,Neotoma fuscipes riparia ,,Eurycea sosorum ,Mikania micrantha,Boltonia decurrens ,Scombrolabrax heterolepis ,Amarillo Snapper
amphipoda,Hypentelium nigricans ,johnny darter,Anchoa lucida ,Lepidochelys kempii ,,,Myotis sodalis ,,Euphydryas editha quino ,Micropterus salmoides,Boechera hoffmannii ,Scopelarchoides nicholosi,Blackfin Snapper
amphipod,Hybopsis amblops ,Ives Lake cisco,Anchoa ischana ,Heloderma suspectum ,,,Myotis grisescens ,,Euphilotes enoptes smithi ,Miconia calvescens,Blennosperma bakeri ,Scopelarchus analis ,Red Snapper
,Hybognathus regius ,Ichthyomyzon unicuspis,Anchoa hepsetus ,Graptemys oculifera ,,,Mustela nigripes ,,Euphilotes battoides allyni ,Melaleuca quinquenervia,birch,Scopelarchus guentheri ,Colorado Snapper
,Hybognathus hankinsoni ,hornyhead chub,Anchoa exigua ,Graptemys flavimaculata ,,,muskrat,,Eumops floridanus ,Macaca fascicularis,Bidens wiebkei ,Scopelarchus michaelsarsi ,Cubera Snapper
,Hiodon tergisus ,green sunfish,Anchoa delicatissima ,Gopherus polyphemus ,,,mouse,,Eumetopias jubatus ,Lythrum salicaria,Betula uber ,Scopelengys tristis ,Gray Snapper
,Hiodon alosoides ,gravel chub,Anchoa curta ,Gopherus flavomarginatus ,,,monkey,,Eucyclogobius newberryi ,Lymantria dispar,Baptisia arachnifera ,Scopeloberyx robustus ,Spotted Rose Snapper
,Gymnocephalus cernua ,grass pickerel,Anchoa cubana ,Gopherus agassizii ,,,Microtus mexicanus hualpaiensis ,,Etheostoma wapiti ,Lithobates catesbeianus,Banara vanderbiltii ,Scopelogadus bispinosus ,Golden Snapper
,Gasterosteus aculeatus ,goldfish,Anchoa compressa ,Glyptemys insculpta ,,,Microtus californicus scirpensis ,,Etheostoma okaloosae ,Lissachatina fulica,Baccharis vanessae ,Scopelosaurus argenteus ,Dog Snapper
,Gambusia affinis ,goldeye,Anchoa cayorum ,gecko,,,Marmota vancouverensis ,,Etheostoma nuchale ,Linepithema humile,Ayenia limitaris ,Scopelosaurus harrryi ,Whipper Snapper
,Fundulus nottii ,Golden shiner,Anarrhichthys ocellatus ,Gambelia silus ,,,mammals,,Etheostoma boschungi ,Ligustrum robustum,Auerodendron pauciflorum ,Scopelosaurus lepidus ,Mahogany Snapper
,Fundulus notatus ,gizzard shad,Anarchopterus tectus ,Eretmochelys imbricata ,,,mammal,,Erimystax cahni ,Leucaena leucocephala,Astrophytum asterias ,Scopelosaurus mauli ,Pacific Dog Snapper
,Fundulus diaphanus ,ghost shiner,Anarchopterus criniger ,Drymarchon couperi ,,,lion,,Eretmochelys imbricata ,Lates niloticus,Astragalus tricarinatus ,Scopelosaurus smithii,Pacific Red Snapper
,Etheostoma zonale ,Gar,Anarchias similis ,Dermochelys coriacea ,,,Leptonycteris nivalis ,,Eremichthys acros ,Lantana camara,Astragalus phoenix ,Scophthalmus aquosus ,Caribbean Red Snapper
,Etheostoma olmstedi ,freshwater fish,Anarchias galapagensis ,Dermatemys mawii ,,,Leptonycteris curasoae yerbabuenae ,,endangered,invasive,Astragalus osterhoutii ,Scorpaena agassizii ,Lane Snapper
,Etheostoma nigrum ,Freshwater drum,Ammodytoides gilli ,Cyclura cornuta stejnegeri ,,,Leopardus pardalis ,,Drymarchon couperi ,invaders,Astragalus jaegerianus ,Scorpaena albifimbria ,Blue-and-gold Snapper
,Etheostoma microperca ,Freshwater +,Ammodytes sp. ,Crotalus willardi obscurus ,,,horse,,Dipodomys stephensi ,Imperata cylindrica,Astragalus humillimus ,Scorpaena bergii ,Silk Snapper
,Etheostoma flabellare ,freshwater,Ammodytes hexapterus ,Crocodylus moreletii ,,,hare,,Dipodomys nitratoides ,Hypophthalmichthys,Astragalus holmgreniorum ,Scorpaena brachyptera ,Louvar
,Etheostoma exile ,flathead catfish,Ameiurus catus ,Crocodylus acutus ,,,goat,,Dipodomys merriami parvus ,Hiptage benghalensis,Astragalus desereticus ,Scorpaena brasiliensis ,Slender Sole
,Etheostoma chlorosomum ,fathead minnow,Amblycirrhitus pinos ,crocodile,,,fox,,Dipodomys ingens ,Herpestes javanicus,Astragalus clarianus ,Scorpaena calcarata ,Bluebanded Goby
,Etheostoma caeruleum ,Emerald shiner,Aluterus scriptus ,Clemmys muhlenbergii ,,,elephant,,Dipodomys heermanni morroensis ,Hedychium gardnerianum,Astragalus brauntonii ,Scorpaena dispar ,Gorgeous Goby
,Etheostoma blennioides ,Eastern mudminnow,Aluterus schoepfi ,Clemmys guttata ,,,dolphin,,Dipodomys casks ,grass carp,Astragalus bibullatus ,Scorpaena grandicornis ,Zebra Goby
,Esox niger ,Deepwater sculpin,Aluterus monoceros ,Chelonia mydas ,,,dog,,Dionda diaboli ,Gambusia affinis,Astragalus applegatei ,Scorpaena guttata ,Black Barracudina
,Esox masquinongy ,deepwater cisco,Aluterus heudelotii ,Caretta caretta ,,,deer,,Dermochelys coriacea ,Felis catus,Astragalus ampullarioides ,Scorpaena histrio ,Barreleye
,Esox lucius ,darter,Alphestes afer ,burmese python,,,coyote,,Dermatemys mawii ,Fallopia japonica,Astragalus albens ,Scorpaena inermis ,Slender Snipefish
,Esox americanus ,crappie,Alosa sapidissima ,blanding turtle,,,cat,,Deltistes luxatus ,exotic,Astelia waialealae ,Scorpaena isthmensis ,Longspine Snipefish
,Erimyzon sucetta ,Coregonus hoyi,Alosa mediocris ,Anolis roosevelti ,,,carnivore,,Cyprinodon radiosus ,eurasian ruffe,Asimina tetramera ,Scorpaena mystes ,Longbarb Scaly Dragonfish
,Erimyzon oblongus ,Coregonus artedi,Alosa aestivalis ,Ameiva polops ,,,bear,,Cyprinodon macularius ,eurasian mullfoil,ash,Scorpaena plumieri ,Duckbill Barracudina
,Dorosoma petenense ,Common logperch,Allothunnus fallai ,alligator,,,bat,,Cyprinodon elegans ,Euphorbia esula,Asclepias welshii ,Scorpaena russula ,Blue Marlin
,Dorosoma cepedianum ,Common carp,Allosmerus elongatus ,,,,badger,,Cyprinodon diabolis ,Euglandina rosea,Asclepias meadii ,Scorpaena sonorae ,Sand Tilefish
,Cyprinus carpio ,Coho salmon,Alloclinus holderi ,,,,island fox,,Cyprinodon bovinus ,Eriocheir sinensis,Aristida portoricensis ,Scorpaenichthys marmoratus ,Softhead Grenadier
,Cyprinella spiloptera ,Cisco ,Alepocephalus tenebrosus ,,,,grizzly bear,,Cyprinella formosa ,Eleutherodactylus coqui,Aristida chaseae ,Scorpaenodes tredecimspinosus ,Redside Blenny
,Cycleptus elongatus ,Chinook salmon,Alepisaurus ferox ,,,,San Joaquin kit fox,,Cyprinella caerulea ,Eichhornia crassipes,Argyroxiphium kauense ,Scorpaenodes xyris ,Throatspotted Blenny
,Culaea inconstans ,chestnut lamprey,Alepisaurus brevirostris ,,,,,,Cyclura cornuta stejnegeri ,Dreissena polymorpha,Arenaria ursina ,Sebastes aleutianus ,Zaca Blenny
,Ctenopharyngodon idella ,Chain pickerel,Alectis ciliaris ,,,,,,Crystallaria cincotta ,Cyprinus carpio,Arenaria paludicola ,Sebastes alutus ,Bighead Portholefish
,Couesius plumbeus ,Central mudminnow,Albula vulpes ,,,,,,Crotalus willardi obscurus ,Cryphonectria parasitica,Arctostaphylos pallida ,Sebastes atrovirens ,Palegold Searsid
,Cottus ricei ,Carp,Albula sp.,,,,,,Crocodylus moreletii ,Coptotermes formosanus,Arctostaphylos myrtifolia ,Sebastes auriculatus ,Atlantic Pearlside
,Cottus cognatus ,Burbot,Albatrossia pectoralis ,,,,,,Crocodylus acutus ,common reed,Arctostaphylos morroensis ,Sebastes aurora ,Halfmoon
,Cottus bairdii ,bullhead minnow,Ahliesaurus brevis,,,,,,Crenichthys nevadae ,Clidemia hirta,Arctostaphylos confertiflora ,Sebastes babcocki ,Tarpon
,Coregonus hoyi ,Brown trout,Ahliesaurus berryi,,,,,,Crenichthys baileyi grandis ,Clarias batrachus,Arabis serotina ,Sebastes borealis ,Slender Bigscale
,Coregonus clupeaformis ,Brown bullhead,Ahlia egmontis ,,,,,,Crenichthys baileyi baileyi ,Cinchona pubescens,Arabis perstellata ,Sebastes brevispinis ,Eyebrow Bigscale
,Coregonus artedii ,Brook trout,Agonostomus monticola ,,,,,,Clemmys muhlenbergii ,Cinara cupressi,Arabis macdonaldiana ,Sebastes carnatus ,Highsnout Melamphid
,Clinostomus funduloides ,Brook stickleback,Agonopsis vulsa ,,,,,,Clemmys guttata ,Chromolaena odorata,Apios priceana ,Sebastes caurinus ,Little Bigscale
,Clinostomus elongatus ,Brook silverside,Agonopsis sterletus ,,,,,,Cicindela ohlone ,Cervus elaphus,Amsonia kearneyana ,Sebastes chlorostictus ,Ridgehead
,Chrosomus neogaeus ,brook lamprey,Agonomalus mozinoi ,,,,,,Cicindela nevadica lincolniana ,Cercopagis pengoi,Amsinckia grandiflora ,Sebastes chrysomelas ,Shoulderspine Bigscale
,Chrosomus erythrogaster ,Brindled madtom,Acromycter sp.,,,,,,Chelonia mydas ,Cecropia peltata,Ambrosia pumila ,Sebastes constellatus ,Humpback Anglerfish
,Chrosomus eos ,brassy minnow,Acipenser oxyrhynchus ,,,,,,Chasmistes liorus ,Caulerpa taxifolia,Ambrosia cheiranthifolia ,Sebastes crameri ,Murray's Abyssal Anglerfish
,Catostomus commersonii ,bowfun,Acipenser brevirostrum ,,,,,,Chasmistes cujus ,Carcinus maenas,Amaranthus pumilus ,Sebastes dallii ,Bigscale Deepsea Smelt
,Catostomus catostomus ,Bowfin,Achirus scutum ,,,,,,Chasmistes brevirostris ,Capra hircus,Amaranthus brownii ,Sebastes diploproa ,Black Durgon
,Carpiodes velifer ,bluntnose minnow,Achirus mazatlanus ,,,,,,Catostomus warnerensis ,canary grass,Alsinidendron viscosum ,Sebastes elongatus ,Rough Silverside
,Carpiodes spp.,Bluegill,Achirus lineatus ,,,,,,Catostomus santaanae ,Bufo marinus,Alsinidendron trinerve ,Sebastes emphaeus ,Inland Silverside
,Carpiodes cyprinus ,Blueback herring,Acentronura dendritica ,,,,,,Catostomus microps ,Boiga irregularis,Alsinidendron obovatum ,Sebastes ensifer ,Atlantic Silverside
,Carpiodes carpio ,Blue walleye,Acanthurus tractus ,,,,,,Caretta caretta ,bigheaded carp,Alsinidendron lychnoides ,Sebastes entomelas ,Southern Kingfish
,Carassius auratus ,bloater,Acanthurus coeruleus ,,,,,,Carcharodon carcharias ,bighead carp,Allium munzii ,Sebastes eos ,Gulf Kingfish
,Campostoma oligolepis ,Blackstripe topminnow,Acanthurus chirurgus ,,,,,,Canis lupus rufus ,Bemisia tabaci,Alectryon macrococcus ,Sebastes flavidus ,Highfin Kingfish
,Campostoma anomalum ,blackside darter,Acanthostracion quadricornis ,,,,,,Canis lupus baileyi ,Batrachochytrium dendrobatidis,alder,Sebastes gillii ,Panama Kingfish
,Atractosteus spatula ,Blackfin cisco,Acanthostracion polygonius ,,,,,,Campephilus principalis ,Banana bunchy,Agalinis acuta ,Sebastes goodei ,Northern Kingfish
,Aplodinotus grunniens ,black crappie,Acantholiparis opercularis ,,,,,,Brychius hungerfordi ,Asterias amurensis,Aeschynomene virginica ,Sebastes helvomaculatus ,California Corbina
,Aphredoderus sayanus ,black bullhead,Acanthogobius flavimanus ,,,,,,Boloria acrocnema ,asian carp,Adiantum vivesii ,Sebastes hopkinsi ,Offshore Hake
,Apeltes quadracus ,bigmouth  buffalo,Acanthocybium solandri ,,,,,,Apodemia mormo langei ,Arundo donax,Adenophorus periens ,Sebastes jordani ,Panama Hake
,Anguilla rostrata ,bass,Acanthemblemaria macrospilus ,,,,,,Anolis roosevelti ,Ardisia elliptica,Aconitum noveboracense ,Sebastes lentiginosus ,Silver Hake
,Amia calva ,banded killifish,Acanthemblemaria crockeri ,,,,,,Anaxyrus houstonensis ,Aphanomyces astaci,Achyranthes mutica ,Sebastes levis ,Cortez Hake
,Ameiurus nebulosus ,banded darter,Acanthemblemaria balanorum ,,,,,,Ameiva polops ,Anoplophora glabripennis,Acanthomintha ilicifolia ,Sebastes macdonaldi ,Pacific Hake
,Ameiurus natalis ,Atlantic salmon,Acantharchus pomotis ,,,,,,Ambystoma californiense ,Anoplolepis gracilipes,Acaena exigua ,Sebastes maliger ,Berry's Grenadier
,Ameiurus melas ,Apeltes quadracus,Abudefduf troschelii ,,,,,,Amblyopsis rosae ,Anopheles quadrimaculatus,Abutilon sandwicense ,Sebastes melanops ,Stippled Wormfish
,Ambloplites rupestris ,American pickerel,Abudefduf taurus ,,,,,,Agelaius xanthomus ,alewife,Abutilon menziesii ,Sebastes melanosema ,Spotback Wormfish
,Alosa pseudoharengus ,American eel,Abudefduf saxatilis ,,,,,,Agalychnis moreletii ,Aedes albopictus,Abutilon eremitopetalum ,Sebastes melanostomus ,Lancetail Wormfish
,Alosa chrysochloris ,Alewife,Abudefduf declivifrons ,,,,,,Acipenser oxyrinchus desotoi ,Acridotheres tristis,Abronia macrocarpa ,Sebastes miniatus ,Pink Wormfish
,Acipenser fulvescens ,Acipenseridae,Ablennes hians ,,,,,,Acipenser brevirostrum ,Acacia mearnsii,Abies guatemalensis ,Sebastes mystinus ,Atlantic Tomcod
,Notropis heterodon ,Silver lamprey,Argyropelecus affinis ,,,,,,Notropis mekistocholas ,,Clermontia samuelii ,Sebastes nebulosus ,Balboa Goby
,Notropis heterolepis ,silverside,Argyropelecus hemigymnus ,,,,,,Noturus flavipinnis ,,Clitoria fragrans ,Sebastes nigrocinctus ,Roundscale Goby
,Notropis hudsonius ,skipjack herring,Argyropelecus lycnus ,,,,,,Noturus stanauli ,,Colubrina oppositifolia ,Sebastes ovalis ,Clown Goby
